timeStamp, OTx, OTy, OTz, vex, vey, vez, roll, pitch, yaw, xr, yr, zr, roll_ref, pitch_ref, thrust
11032, 0.45155465602874756, 0.1451423168182373, 0.9368902333080769, 0.12848847936699406, -0.3834152502195392, 0.15027476839962298, 0.7379487395286559, -0.15028717531240546, -0.5119246929883957, 0.6592811405121064, -0.3019658017156384, 1.1592811405121064, -0.3204442435166008, -0.22600744904913642, 42235
11043, 0.45320332050323486, 0.14264416694641113, 0.9373606331646442, 0.12774105000881333, -0.38382803435940516, 0.15059837972778256, 0.7612293660640717, -0.16110086441040042, -0.5121522068977357, 0.6609180431284207, -0.3047129267225111, 1.1609180431284207, -0.314225970937606, -0.17317240218314814, 42245
11053, 0.453967809677124, 0.13974535465240479, 0.9387834556400776, 0.12721121696040974, -0.38373237133695653, 0.15072551113193014, 0.7765298008918763, -0.16829171180725097, -0.5121471345424652, 0.662404469323944, -0.3071976855167629, 1.162404469323944, -0.29865991235728706, -0.07167499734293109, 42246
11065, 0.45562028884887695, 0.1339728832244873, 0.9418309219181538, 0.1259075227334495, -0.383669859401266, 0.15082483125655632, 0.7821392893791199, -0.17948313504457472, -0.5125484466552734, 0.6641860636848442, -0.310163378988278, 1.1641860636848442, -0.4797641912616331, 0.007749453433414709, 42231
11075, 0.45658981800079346, 0.1319204568862915, 0.9422412998974323, 0.1235651386537175, -0.3824809140908757, 0.15110113548532508, 0.7669701993465423, -0.1984507687389851, -0.5126146972179413, 0.6656689442312854, -0.31262132816785243, 1.1656689442312853, -0.2921494842077389, 0.20130580947716567, 42242
11087, 0.45783960819244385, 0.12839221954345703, 0.9443405158817768, 0.12188977805176078, -0.3793485874663548, 0.15216597502825743, 0.6890091478824616, -0.21706396564841268, -0.5086373090744019, 0.6674462412872442, -0.31555456756220474, 1.1674462412872442, -0.000134425994384008, 0.342974115494036, 42230
11097, 0.46042966842651367, 0.12347769737243652, 0.9464978463947773, 0.12246460750189964, -0.3786989713307047, 0.15266510227187374, 0.6398253709077835, -0.2176489792764187, -0.505451101064682, 0.6689255053493346, -0.3179852374806108, 1.1689255053493346, 0.01638525875833401, 0.2453575831887901, 42221
11107, 0.46053779125213623, 0.12096023559570312, 0.949257779866457, 0.12177310848770825, -0.37837224766105787, 0.15323828571096879, 0.5861051976680756, -0.22947369441390042, -0.5025851100683212, 0.6704031021848855, -0.3204033538863194, 1.1704031021848855, 0.20441330693409532, 0.41289820183959747, 42205
11117, 0.4619041681289673, 0.11809062957763672, 0.9487860687077045, 0.1208235276005983, -0.3785559165580879, 0.15370575045292834, 0.5320069804787636, -0.2453981854021549, -0.5001510947942734, 0.6718790172106126, -0.3228088213162351, 1.1718790172106126, 0.34333351477843693, 0.5073704821312831, 42224
11127, 0.4629945755004883, 0.11559712886810303, 0.9497960098087788, 0.12007839847452915, -0.37746792798234213, 0.15283493031764267, 0.4685758590698242, -0.2591717429459095, -0.49678824841976166, 0.6733532358598298, -0.32520154480662206, 1.1733532358598298, 0.5871391215128351, 0.6088081462963297, 42236
11138, 0.4641841650009155, 0.11318004131317139, 0.9504385478794575, 0.11980082480950749, -0.3784655476098393, 0.15182565761638708, 0.4212099611759185, -0.26518334448337555, -0.49396333992481234, 0.6749728996942465, -0.3278187086722379, 1.1749728996942466, 0.7087638358226095, 0.6662203446957368, 42254
11148, 0.46624553203582764, 0.10725617408752441, 0.9540272243320942, 0.12015857875145114, -0.37779306254123907, 0.151023587675785, 0.3654250055551529, -0.25950307473540307, -0.4902132570743561, 0.6764435086128875, -0.3301843630252984, 1.1764435086128875, 0.6623918548449927, 0.6063066299121204, 42238
11158, 0.4675637483596802, 0.10453236103057861, 0.9552090652287006, 0.12138521581439131, -0.37663002584655064, 0.1502475876224252, 0.3118159711360931, -0.23842171244323254, -0.48596367835998533, 0.6779123761053315, -0.33253698226507283, 1.1779123761053314, 0.8710046422258073, 0.5309320088143993, 42248
11168, 0.46766841411590576, 0.10169827938079834, 0.9554726369678974, 0.12281164769354104, -0.3761726034538602, 0.1493343511359096, 0.2714475870132447, -0.20348914451897143, -0.48222559392452236, 0.6793794876744497, -0.3348764735141821, 1.1793794876744497, 1.0124132505523593, 0.5095213787098419, 42269
11178, 0.4690333604812622, 0.09915482997894287, 0.956888485699892, 0.12341810797284902, -0.3774608783465216, 0.14803924054838638, 0.2527550667524338, -0.16183372475206853, -0.4804821670055389, 0.6808448288404432, -0.3372027444135178, 1.1808448288404432, 1.0518069380290183, 0.41933472177344394, 42280
11188, 0.47000324726104736, 0.09653735160827637, 0.9588560350239277, 0.12508203944912225, -0.3783177775461682, 0.14521743043475477, 0.23928423225879672, -0.10212209708988666, -0.47876880168914787, 0.6823083851409856, -0.339515703125887, 1.1823083851409857, 1.0950779579133882, 0.2741614630068332, 42296
11199, 0.47212350368499756, 0.09138250350952148, 0.9611847884953022, 0.12460295470506512, -0.3786822593121055, 0.14262093541509716, 0.2285417318344116, -0.04880855269730091, -0.4791505008935928, 0.6839162183127547, -0.342044473168863, 1.1839162183127547, 0.9662875215817149, 0.15497260355548118, 42306
11209, 0.47360527515411377, 0.08828020095825195, 0.9611623771488667, 0.12482971914314059, -0.37942852518914855, 0.1399476593112511, 0.22509188950061798, 0.01569516770541668, -0.47912451624870295, 0.6853759793995196, -0.3443291797008292, 1.1853759793995196, 0.956933483615984, 0.028333701607087532, 42341
11219, 0.4747377634048462, 0.08562350273132324, 0.962699580937624, 0.12546243481937744, -0.38056682019606536, 0.1372053020300971, 0.22878181785345078, 0.08631098084151745, -0.4790871739387512, 0.6868339109002068, -0.34660029270636655, 1.1868339109002068, 0.9481312093809616, -0.10308181448621041, 42360
11229, 0.4753011465072632, 0.08314716815948486, 0.9634175784885883, 0.12546243481937744, -0.38056682019606536, 0.1372053020300971, 0.22878181785345078, 0.08631098084151745, -0.4790871739387512, 0.6882899984256214, -0.3488577225258226, 1.1882899984256214, 1.0123269844831646, -0.022755839847431958, 42370
11239, 0.477036714553833, 0.07809364795684814, 0.966982651501894, 0.12546243481937744, -0.38056682019606536, 0.1372053020300971, 0.22878181785345078, 0.08631098084151745, -0.4790871739387512, 0.6897442276047676, -0.35110138003973385, 1.1897442276047676, 0.8841219572936905, -0.029368738492438783, 42350
11254, 0.4783679246902466, 0.07571971416473389, 0.9691023118793964, 0.12412662890258748, -0.38318056616435514, 0.133743082907002, 0.25512591004371643, 0.2537369135767221, -0.483117726445198, 0.6919220555828501, -0.3544408496277656, 1.19192205558285, 0.7821802706983945, -0.2757898115217568, 42368
11265, 0.4805058240890503, 0.06938576698303223, 0.9709685333073139, 0.1231385316917133, -0.38389353095178913, 0.13263488650115815, 0.27176535725593565, 0.2891365371644497, -0.48509286344051356, 0.6935164234684598, -0.3568698011382109, 1.1935164234684599, 0.49166843748364886, -0.3366288592545144, 42373
11275, 0.48101651668548584, 0.06694519519805908, 0.9724951274693012, 0.12234800981808529, -0.38203713248607546, 0.1315067655233336, 0.2746322602033615, 0.3147279530763626, -0.48568679988384245, 0.6949638438940942, -0.35906314888159446, 1.1949638438940942, 0.6349473064004865, -0.26613625782125794, 42381
11286, 0.48117828369140625, 0.0647130012512207, 0.9719756133854389, 0.12244695962961877, -0.381535621989847, 0.13133426053324565, 0.3128067284822464, 0.3488366305828094, -0.4829715967178345, 0.6965537833452021, -0.36145945572825516, 1.1965537833452022, 0.6613368905780012, -0.22686445373214112, 42405
11296, 0.4830622673034668, 0.061846137046813965, 0.9738613851368427, 0.1224655658151685, -0.38271328260434734, 0.13234543953574537, 0.34509448707103724, 0.3534581571817398, -0.4807552814483642, 0.6979971464435049, -0.36362293621219777, 1.1979971464435049, 0.5746190096392306, -0.253204458523601, 42396
11306, 0.48592376708984375, 0.05659019947052002, 0.9747977741062641, 0.1219985553963751, -0.381048864853997, 0.13354603071644766, 0.3584221124649048, 0.34814807772636414, -0.47818913459777834, 0.6994385553899067, -0.3657720614852408, 1.1994385553899067, 0.4778077347421737, -0.31066300563540433, 42396
11316, 0.4868992567062378, 0.05417370796203613, 0.9780024774372578, 0.12127149446768826, -0.38120408401976474, 0.13462127809208238, 0.381701996922493, 0.3375924646854401, -0.4759946793317795, 0.7008779959582838, -0.3679067467035989, 1.2008779959582838, 0.4874602157966449, -0.20585344852288961, 42372
11327, 0.48809385299682617, 0.05075943470001221, 0.9796230085194111, 0.1203935898809535, -0.38000510443651386, 0.13498951903766251, 0.3919942766427994, 0.32414657175540923, -0.47411018311977393, 0.7024590901517691, -0.37023812161704, 1.202459090151769, 0.5107720393766265, -0.10436370250753121, 42369
11337, 0.48860859870910645, 0.04813575744628906, 0.9806632287800312, 0.11959469539435585, -0.38129395955909623, 0.1351951603242023, 0.4134548306465149, 0.3119456171989441, -0.47274314165115355, 0.7038943509068514, -0.37234220909405547, 1.2038943509068514, 0.4555296828857624, 0.0418749700680072, 42374
11347, 0.4890482425689697, 0.04542720317840576, 0.9820925481617451, 0.11891521130323923, -0.381164515790337, 0.13554631291735295, 0.41966552734374996, 0.30128400474786754, -0.4717570275068283, 0.7053275993070056, -0.3744315971382075, 1.2053275993070056, 0.4892325458119939, 0.18568919008277232, 42374
11357, 0.491672158241272, 0.040757060050964355, 0.9840189702808857, 0.11963060889797222, -0.3815640358126149, 0.13588855757561394, 0.424201038479805, 0.30402181893587116, -0.46946098804473885, 0.7067588212066489, -0.37650620326403433, 1.206758821206649, 0.3551727414427347, 0.07627958425608102, 42369
11368, 0.4927099943161011, 0.03790700435638428, 0.9852376468479633, 0.11975467892292517, -0.38142137216291105, 0.13663420784724067, 0.41891437172889706, 0.3070917055010796, -0.4683985859155655, 0.708330807829884, -0.3787710991543547, 1.208330807829884, 0.39997139846363605, 0.11118805325754925, 42368
11378, 0.4937918186187744, 0.03493046760559082, 0.9863175638020039, 0.11915398663187265, -0.3820071242391594, 0.1378342140525911, 0.41477278470993045, 0.3080447390675545, -0.46823149323463437, 0.7097577281237248, -0.38081439736146094, 1.2097577281237248, 0.3990333976701514, 0.1806336394456363, 42366
11388, 0.49484431743621826, 0.03202211856842041, 0.9876034744083881, 0.11866946682868135, -0.38044039101329685, 0.13811251766100868, 0.3941302314400673, 0.31082323342561724, -0.46822656393051143, 0.7111825781934717, -0.38284266166821806, 1.2111825781934717, 0.5345371430571887, 0.24349218091358163, 42368
11398, 0.496268630027771, 0.02722036838531494, 0.9902101047337055, 0.11933738249986822, -0.3809251786156564, 0.13830830586178686, 0.3869886353611946, 0.32229476422071457, -0.4667416542768478, 0.7126053439764299, -0.3848558120022244, 1.21260534397643, 0.40697342082742305, 0.2084868135495321, 42356
11408, 0.4976840019226074, 0.024101614952087402, 0.9913652427494526, 0.11973880450595273, -0.3814222350350125, 0.13871470933566107, 0.3802239879965782, 0.32958729714155194, -0.4662209391593933, 0.7140260114304751, -0.38685376888775136, 1.214026011430475, 0.4020485515739033, 0.1947093567926504, 42359
11419, 0.49905145168304443, 0.02180302143096924, 0.9927266128361225, 0.12086411156070588, -0.3810625974397868, 0.13937577625929734, 0.3688100978732109, 0.33807393461465834, -0.46504448950290683, 0.7155863053260941, -0.38903387890840435, 1.2155863053260942, 0.5064672509451446, 0.1488632760359304, 42357
11429, 0.4989321231842041, 0.018769025802612305, 0.9957081563770771, 0.12170038063071797, -0.38186743299708453, 0.14082181576222824, 0.36640155464410784, 0.3413640782237053, -0.4649165242910385, 0.7170025206746053, -0.39099967353069953, 1.2170025206746053, 0.48432052508871865, 0.23758257123611062, 42333
11439, 0.5021612644195557, 0.012716054916381836, 0.9967835433781147, 0.12328869383753863, -0.38155564339868747, 0.14228469946259287, 0.3554458424448967, 0.34753575176000595, -0.4644646644592285, 0.7184165942958453, -0.3929500321553826, 1.2184165942958454, 0.3047242991949109, 0.03700380578989526, 42329
11449, 0.5030950307846069, 0.010347247123718262, 0.9981101043522358, 0.12489885939889823, -0.3810566537120842, 0.14372118962807953, 0.34166362285614016, 0.35502931773662566, -0.4642343699932099, 0.7198285122334775, -0.3948848777856342, 1.2198285122334775, 0.41184910508976974, 0.0030005452474063123, 42323
11459, 0.5033397674560547, 0.008296608924865723, 1.0001873262226582, 0.12452537118109103, -0.3794314838178556, 0.14523824923636117, 0.3189984247088432, 0.34962337911129, -0.4662169307470322, 0.7212382605524424, -0.396804134037062, 1.2212382605524426, 0.6119567685777123, 0.13765446073000745, 42308
11470, 0.5047245025634766, 0.0051174163818359375, 1.0008886344730854, 0.12629093973171077, -0.3810767286386276, 0.14617430065137438, 0.3205221116542816, 0.36002556085586546, -0.4646521478891372, 0.7227864611884481, -0.39889721976928555, 1.2227864611884482, 0.5292411359505355, 0.05810100954232966, 42311
11480, 0.5067380666732788, 0.0023480653762817383, 1.0012805946171284, 0.12720385400643328, -0.3825229448526953, 0.14683473425262183, 0.31948975324630735, 0.3663898855447769, -0.46377294063568114, 0.7241916080450163, -0.4007834924354385, 1.2241916080450164, 0.4905980210683151, -0.021057015470441885, 42320
11490, 0.5081523656845093, -0.002761363983154297, 1.003644872456789, 0.12824526312709272, -0.3839232295432203, 0.14837201478561765, 0.31761656850576403, 0.3751233130693436, -0.46310663223266607, 0.7255945422209226, -0.40265394285556105, 1.2255945422209225, 0.28064449688436144, -0.06647412574651938, 42302
11500, 0.5089519023895264, -0.0057926177978515625, 1.0051050670444965, 0.12838749345418884, -0.3841765893625385, 0.1501525777665539, 0.3069751843810081, 0.3791278451681137, -0.46384619176387787, 0.7269952498697734, -0.40450849718747367, 1.2269952498697734, 0.29409795441391223, -0.015225293343342031, 42291
11511, 0.5091185569763184, -0.008572220802307129, 1.00910060480237, 0.1298747418572861, -0.3854550132761213, 0.1518095666736866, 0.3035435542464256, 0.39519568681716916, -0.46337225735187537, 0.7285334401459751, -0.4065300596078301, 1.228533440145975, 0.2642189665807734, -0.0022294273161472754, 42255
11521, 0.5113741159439087, -0.010652303695678711, 1.0082360990345478, 0.1313879540903728, -0.3867885570290431, 0.1534842363957794, 0.30103231817483905, 0.41233673989772796, -0.46289099454879756, 0.7299294271159196, -0.40835099459339963, 1.2299294271159196, 0.281613299215744, -0.14769246572893546, 42270
11531, 0.5137521028518677, -0.0160599946975708, 1.0107183940708637, 0.13289621835284948, -0.38615997291839815, 0.15595186811551, 0.28624217659235, 0.4285857379436493, -0.4626304388046264, 0.7313231447752445, -0.4101558085809113, 1.2313231447752444, 0.16535660613318845, -0.30078705508777964, 42245
11541, 0.5148097276687622, -0.018713831901550293, 1.012907076627016, 0.13397718948493068, -0.3848241111548578, 0.15837618563779676, 0.2695715308189392, 0.43769004940986633, -0.462888103723526, 0.7327145793685197, -0.41194443031939965, 1.2327145793685197, 0.28879563086807314, -0.32209244041781465, 42222
11551, 0.5157936811447144, -0.021789193153381348, 1.0139558799564838, 0.1355378077729341, -0.3848705596172816, 0.16070243349051333, 0.26565715819597246, 0.4440967261791229, -0.46248292922973633, 0.734103717162847, -0.41371678919714056, 1.2341037171628468, 0.29129898897293494, -0.3544704918845254, 42213
11561, 0.5158060789108276, -0.024802207946777344, 1.0150243528187275, 0.1364722832329668, -0.38611500740212557, 0.1631307565320218, 0.2720539286732674, 0.4399787545204163, -0.46244432032108307, 0.7354905444479973, -0.4154728152444406, 1.2354905444479973, 0.22205387403014015, -0.2644233480233032, 42202
11572, 0.5177047252655029, -0.026976466178894043, 1.0169147737324238, 0.1366948047334535, -0.3851628026954443, 0.16598138610780513, 0.2626488968729973, 0.4241725265979767, -0.4635669320821762, 0.7370133694883049, -0.4173854967573475, 1.2370133694883048, 0.34730055933282805, -0.2582585344109106, 42180
11582, 0.5203443765640259, -0.032550692558288574, 1.0181998498737812, 0.13619463025290665, -0.38341802752582604, 0.16905449339527592, 0.2492515742778778, 0.396719990670681, -0.46468390822410577, 0.7383953001789959, -0.4191069989810745, 1.238395300178996, 0.2630751553912302, -0.2512862274154295, 42163
11592, 0.5218445062637329, -0.035048484802246094, 1.0194110162556171, 0.13493828792876622, -0.3839565997010846, 0.17101635077043925, 0.25351640582084656, 0.35753387808799747, -0.465060630440712, 0.739774878004318, -0.42081195557810736, 1.2397748780043178, 0.2659161146274109, -0.10192266960567391, 42154
11602, 0.522423505783081, -0.03768050670623779, 1.0222100503742695, 0.13319838156139074, -0.3826588462066555, 0.17312497038157862, 0.24687241315841676, 0.3106991180218756, -0.46548634469509126, 0.741152089348395, -0.4225002992396795, 1.2411520893483952, 0.36452498344869666, 0.1535327199462746, 42127
11612, 0.5229456424713135, -0.040613770484924316, 1.0235478170216084, 0.13210812943603017, -0.38360637574899387, 0.17497931584455467, 0.25663969814777376, 0.2655941070057452, -0.4635121554136276, 0.7425269206187075, -0.42417196331287427, 1.2425269206187075, 0.30411297253795855, 0.38031889647964306, 42117
11623, 0.525530219078064, -0.04581773281097412, 1.0255769975483418, 0.13005247714430168, -0.38258041826264383, 0.17691038051184854, 0.2537677794694901, 0.21514994734898213, -0.4631521791219711, 0.74403646983692, -0.4259914501241648, 1.24403646983692, 0.18965632681020553, 0.5088766312264812, 42100
11633, 0.525727391242981, -0.04790771007537842, 1.0280910022556782, 0.12820105468492843, -0.38471266729641307, 0.17706842699390052, 0.27270300686359406, 0.16985605405643583, -0.46124923527240747, 0.7454062588133346, -0.42762787303896416, 1.2454062588133346, 0.11670805222394835, 0.7952291475228309, 42089
11643, 0.5281232595443726, -0.05099141597747803, 1.0273296125233173, 0.12709370947894713, -0.3867086703735734, 0.1772546724812294, 0.2889937147498131, 0.13682962181046604, -0.45784808695316315, 0.7467736257290492, -0.4292474139375522, 1.2467736257290492, -0.0191259599341111, 0.8596198120364827, 42113
11653, 0.5286329984664917, -0.054038286209106445, 1.0305169112980366, 0.12581477882617126, -0.38735731618290753, 0.17745049415583303, 0.2933880299329758, 0.11134500177577139, -0.4543396592140198, 0.7481385570887044, -0.4308500088832273, 1.2481385570887045, -0.06739198023683693, 1.0570938572443354, 42095
11664, 0.5290981531143188, -0.056980013847351074, 1.0300870425999165, 0.12583417489441234, -0.3876314813822618, 0.17739576971744045, 0.2911293923854828, 0.10731572778895496, -0.45003380477428434, 0.7496371524397745, -0.4325932152578722, 1.2496371524397745, -0.07811866717128149, 1.1561086369031532, 42117
11674, 0.5317889451980591, -0.06186378002166748, 1.0333229787647724, 0.124857759554234, -0.38958907197087417, 0.17698074175220918, 0.2958363488316536, 0.10856045158579945, -0.4470081239938736, 0.7509969253114055, -0.4341600185675554, 1.2509969253114055, -0.3259012471195309, 1.125036038028224, 42102
11684, 0.5324275493621826, -0.06434965133666992, 1.035516906529665, 0.1260264606591869, -0.38976867316431324, 0.17655479041423658, 0.28173184879124163, 0.13444591583684085, -0.44304953813552855, 0.7523542209447149, -0.4357096819831063, 1.252354220944715, -0.277484415388893, 1.0986110720135194, 42099
11694, 0.5344144105911255, -0.06677484512329102, 1.0354303605854511, 0.12704953333018046, -0.390904532718102, 0.17541969444924801, 0.26381675265729426, 0.1692487713880837, -0.4398474633693695, 0.7537090259437436, -0.4372421443264672, 1.2537090259437436, -0.26160504849908217, 0.9610512151473725, 42124
11705, 0.5354784727096558, -0.06968522071838379, 1.0362653024494648, 0.12876519891457833, -0.3916669732607694, 0.17418611402040518, 0.23110560439527034, 0.21532364077866076, -0.43743170499801637, 0.7551964188020766, -0.4389079134805608, 1.2551964188020766, -0.2358265706474168, 0.8377931953805346, 42140
11715, 0.5360522270202637, -0.0753854513168335, 1.0409169681370258, 0.12896314946103424, -0.38982327290396634, 0.1730423443376338, 0.16676896773278713, 0.25591311417520046, -0.43898826539516445, 0.7565459499747775, -0.44040405746150185, 1.2565459499747775, -0.23621454925821658, 0.8320922966355329, 42116
11725, 0.5375916957855225, -0.07810842990875244, 1.0409547574818134, 0.13078584618145228, -0.38713147205317, 0.17203769163536256, 0.014205813035368919, 0.3482690565288067, -0.44290205240249636, 0.7578929491425237, -0.4418828150443467, 1.2578929491425237, 0.19701673849427906, 0.5773257028567715, 42139
11736, 0.5390450954437256, -0.08027935028076172, 1.042926598340273, 0.13099254619104284, -0.385117562146621, 0.17236118617772547, -0.07117758430540562, 0.38651088923215865, -0.4477905362844467, 0.7593717078952789, -0.44348929744109333, 1.2593717078952789, 0.5064224736162382, 0.5106574061939969, 42133
11746, 0.5406661033630371, -0.08265221118927002, 1.0439258106052876, 0.13067344604219575, -0.3843364277089887, 0.17250508506583356, -0.14453759975731376, 0.4157620638608932, -0.4536591529846192, 0.7607133466095366, -0.44493135438690556, 1.2607133466095366, 0.7197054482235641, 0.4734693942834569, 42138
11756, 0.5427318811416626, -0.0884547233581543, 1.04726879671216, 0.13055452418628183, -0.3843230358427113, 0.17272590920497055, -0.20418748594820502, 0.43725702166557306, -0.4583511382341385, 0.7620524121883174, -0.4463558462046911, 1.2620524121883174, 0.6140293930254546, 0.4090836543456343, 42118
11766, 0.543548583984375, -0.09098970890045166, 1.0484332330524921, 0.1319565708035546, -0.384447500116964, 0.1730590093173248, -0.2502043638378382, 0.45990824103355404, -0.46058022081851957, 0.7633888914155849, -0.4477627166579521, 1.2633888914155849, 0.7162345041947688, 0.3650799628912323, 42120
11777, 0.5439475774765015, -0.0932689905166626, 1.0509597547352314, 0.13171212747608244, -0.3858115350863338, 0.17335143348658433, -0.27361508831381803, 0.46537921130657195, -0.46349209249019624, 0.7648560155874717, -0.44928985521333575, 1.2648560155874717, 0.7350138482515962, 0.4625367880465676, 42108
11787, 0.5454732179641724, -0.09607851505279541, 1.05139796808362, 0.13210416500426017, -0.3846854420602874, 0.17283408871753064, -0.29619414657354354, 0.4704601496458054, -0.46562907099723816, 0.7661870205720746, -0.4506595408486259, 1.2661870205720747, 0.8268241442209849, 0.4479161418125069, 42123
11797, 0.5476915836334229, -0.09874212741851807, 1.0514129884541035, 0.13220014927009877, -0.38435628775333575, 0.17205273241272717, -0.29629428274929526, 0.4710121750831604, -0.4668675601482391, 0.7675153983982481, -0.4520114352168959, 1.2675153983982481, 0.8474110616752697, 0.40412131883859564, 42145
